ZOHO_LINK_ID,"Designation Name","Mail Alias","Added By","Added time","Modified By","Modified time"
40872000005746003,"Product Lead",,"100 - admin - Admin","30-Nov-2025 13:46:59","100 - admin - Admin","30-Nov-2025 13:46:59"
40872000005217026,"Associate Software Engineer",,"100 - admin - Admin","29-Jun-2025 21:11:06","100 - admin - Admin","29-Jun-2025 21:11:06"
40872000003624013,Consultant,,"100 - admin - Admin","28-Feb-2024 12:36:56","100 - admin - Admin","28-Feb-2024 12:36:56"
40872000002850298,"Senior Consultant",,"100 - admin - Admin","16-Jul-2023 19:01:28","100 - admin - Admin","16-Jul-2023 19:01:28"
40872000001937070,"UI Designer",,"100 - admin - Admin","30-Nov-2022 21:01:41","100 - admin - Admin","30-Nov-2022 21:01:41"
40872000001582299,"Associate Software Developer",,"100 - admin - Admin","14-Aug-2022 16:10:17","100 - admin - Admin","14-Aug-2022 16:10:17"
40872000001540297,"Associate Consultant",,"100 - admin - Admin","01-Aug-2022 20:53:03","100 - admin - Admin","01-Aug-2022 20:53:03"
40872000001297035,"Office Admin",,"100 - admin - Admin","18-May-2022 22:21:49","100 - admin - Admin","18-May-2022 22:21:49"
40872000001297003,DBA,,"100 - admin - Admin","18-May-2022 22:15:55","100 - admin - Admin","18-May-2022 22:15:55"
40872000000948023,"Web Development Engineer",,"100 - admin - Admin","20-Jan-2022 21:01:24","100 - admin - Admin","20-Jan-2022 21:01:24"
40872000000510013,"Software Developer",,"100 - admin - Admin","01-Jul-2021 12:16:31","100 - admin - Admin","01-Jul-2021 13:11:55"
40872000000510003,"Senior Software Engineer",,"100 - admin - Admin","01-Jul-2021 12:16:06","100 - admin - Admin","01-Jul-2021 12:16:06"
40872000000205135,CTO,,"100 - admin - Admin","18-Nov-2020 14:41:14","100 - admin - Admin","18-Nov-2020 14:41:14"
40872000000205125,CEO,,"100 - admin - Admin","18-Nov-2020 14:40:33","100 - admin - Admin","18-Nov-2020 14:40:33"
40872000000188828,"Testing Engineer",,"100 - admin - Admin","30-Oct-2020 00:38:20","100 - admin - Admin","30-Oct-2020 00:38:20"
40872000000188818,"Team Lead",,"100 - admin - Admin","30-Oct-2020 00:38:08","100 - admin - Admin","30-Oct-2020 00:38:08"
40872000000188166,"Software Engineer",,"100 - admin - Admin","29-Oct-2020 22:53:44","100 - admin - Admin","29-Oct-2020 22:53:44"
